C.D.S.  -  SIMBAD4 rel 1.7  -  2021.07.09CEST12:11:53

coord 14 05 32.39 + 28 32 58.33 (ICRS, J2000, 2000.0), radius: 466.3949 arcsec
------------------------------------------------------------------------------

Number of objects : 380

 # |dist(asec)|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
---|----------|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
75 |     82.46|Cl* NGC 5466 FSBHB 35              |HB*|14 05 31.33 +28 34 19.6                |     ~|16.723|16.680|     ~|16.558|~              |   1|   0
76 |     82.77|Gaia DR2 1452632195197544832       |WD?|14 05 38.5562698953 +28 33 14.144595334|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
77 |     84.09|Cl* NGC 5466 FSBRGB 56             |RG*|14 05 37.53 +28 32 08.5                |     ~|16.980|16.217|     ~|15.259|~              |   1|   0
78 |     84.34|Gaia DR2 1452632160837813376       |*  |14 05 36.3298729736 +28 31 51.861628916|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
79 |     84.57|Cl* NGC 5466 NH 3                  |BS*|14 05 26.70 +28 32 19.2                |     ~|19.437|19.244|     ~|18.960|~              |   2|   0
80 |     84.94|Cl* NGC 5466 NH 53                 |BS*|14 05 26.34 +28 32 29.0                |     ~|18.494|19.184|     ~|19.004|~              |   1|   0
81 |     85.02|Cl* NGC 5466 FSBHB 74              |HB*|14 05 31.86 +28 31 33.6                |     ~|16.741|16.684|     ~|16.603|~              |   1|   0
82 |     85.57|Gaia DR2 1452629274619253120       |*  |14 05 26.6249735526 +28 32 18.942586541|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
83 |     86.42|NGC 5466                           |GlC|14 05 27.29 +28 32 04.0                |     ~|10.5  | 9.70 |     ~|     ~|~              | 752|   0
84 |     86.95|Cl* NGC 5466 FSBRGB 73             |RG*|14 05 37.94 +28 32 11.3                |     ~|17.212|16.480|     ~|15.545|~              |   1|   0
85 |     86.98|Cl* NGC 5466 FSBRGB 36             |RG*|14 05 33.46 +28 31 32.5                |     ~|16.672|15.787|     ~|14.809|~              |   1|   0
86 |     87.09|Cl* NGC 5466 FSBHB 13              |HB*|14 05 25.98 +28 33 19.6                |     ~|16.675|16.680|     ~|     ~|~              |   1|   0
87 |     87.09|Cl* NGC 5466 FSBHB 14              |HB*|14 05 25.98 +28 33 19.6                |     ~|16.662|16.644|     ~|     ~|~              |   1|   0
88 |     87.94|Gaia DR2 1452626285322181120       |*  |14 05 35.0333555505 +28 31 37.583365164|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
89 |     89.27|Cl* NGC 5466 FSBRGB 78             |RG*|14 05 35.52 +28 34 17.5                |     ~|17.367|16.638|     ~|15.717|~              |   1|   0
90 |     89.35|Cl* NGC 5466 NH 42                 |BS*|14 05 26.82 +28 33 49.3                |     ~|19.955|19.682|     ~|19.346|~              |   2|   0
91 |     89.95|Cl* NGC 5466 FSBRGB 94             |RG*|14 05 31.49 +28 34 27.5                |     ~|17.575|16.877|     ~|16.001|~              |   1|   0
92 |     90.01|Gaia DR2 1452635253213821568       |*  |14 05 26.7422945637 +28 33 48.976175690|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
93 |     91.28|2MASS J14053691+2831491            |RG*|14 05 36.8972834126 +28 31 49.018053954|     ~|15.583|14.561|     ~|13.398|~              |   2|   0
94 |     93.23|Cl* NGC 5466 FSBRGB 34             |RG*|14 05 39.24 +28 32 35.0                |     ~|16.518|15.707|     ~|14.692|~              |   1|   0
95 |     93.75|Cl* NGC 5466 NH 54                 |BS*|14 05 26.79 +28 32 00.5                |     ~|19.104|19.039|     ~|18.644|~              |   1|   0
96 |     96.70|Cl* NGC 5466 NH 60                 |BS*|14 05 32.11 +28 31 21.7                |     ~|19.803|19.683|     ~|19.282|~              |   1|   0
97 |     97.23|Cl* NGC 5466 FSBHB 64              |HB*|14 05 28.05 +28 31 39.7                |     ~|16.719|16.576|     ~|16.349|~              |   2|   0
98 |     97.81|Cl* NGC 5466 FSBRGB 32             |RG*|14 05 30.17 +28 31 25.0                |     ~|16.344|15.517|     ~|14.552|~              |   2|   0
99 |     97.84|2MASS J14053119+2831219            |RG*|14 05 31.1831231950 +28 31 21.789108662|     ~|15.75 |14.85 |     ~|13.85 |~              |   5|   0
100|     98.56|Cl* NGC 5466 NH 2                  |BS*|14 05 26.44 +28 31 58.6                |     ~|18.846|18.721|     ~|18.597|~              |   2|   0
101|     98.97|Cl* NGC 5466 FSBRGB 71             |RG*|14 05 36.09 +28 31 32.2                |     ~|17.193|16.436|     ~|15.486|~              |   1|   0
102|    100.01|Cl* NGC 5466 NH 59                 |BS*|14 05 24.80 +28 32 58.3                |     ~|19.922|19.522|     ~|19.073|~              |   1|   0
103|    100.16|Cl* NGC 5466 FSBRGB 61             |RG*|14 05 24.91 +28 32 40.5                |     ~|17.039|16.300|     ~|15.395|~              |   2|   0
104|    101.23|Cl* NGC 5466 NH 20                 |BS*|14 05 27.15 +28 31 44.3                |     ~|18.420|18.316|     ~|18.335|~              |   2|   0
105|    101.57|Cl* NGC 5466 NH 55                 |BS*|14 05 28.06 +28 31 34.3                |     ~|19.508|19.573|     ~|19.180|~              |   1|   0
106|    102.04|Gaia DR2 1452629377698566656       |*  |14 05 25.5672996355 +28 33 46.620832348|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
107|    102.37|Cl* NGC 5466 NH 76                 |BS*|14 05 25.41 +28 33 43.3                |     ~|20.239|19.947|     ~|     ~|~              |   1|   0
108|    103.81|Cl* NGC 5466 NH 92                 |BS*|14 05 25.56 +28 32 06.6                |     ~|     ~|19.975|     ~|19.535|~              |   1|   0
109|    103.94|Cl* NGC 5466 FSBRGB 88             |RG*|14 05 25.12 +28 32 18.0                |     ~|17.478|16.760|     ~|15.921|~              |   2|   0
110|    103.99|Cl* NGC 5466 NH 69                 |BS*|14 05 24.57 +28 33 12.4                |     ~|19.661|19.591|     ~|17.985|~              |   1|   0
111|    104.10|Cl* NGC 5466 FSBRGB 39             |RG*|14 05 30.90 +28 31 16.1                |     ~|16.580|15.828|     ~|14.870|~              |   2|   0
112|    104.52|Cl* NGC 5466 NH 73                 |BS*|14 05 40.32 +28 32 55.6                |     ~|20.075|19.771|     ~|     ~|~              |   1|   0
113|    104.58|Cl* NGC 5466 SAW V30               |BS*|14 05 35.05 +28 31 19.8                |     ~|18.854|18.739|     ~|18.607|~              |  14|   0
114|    104.81|Cl* NGC 5466 NH 23                 |BS*|14 05 24.63 +28 33 21.4                |     ~|19.368|19.144|     ~|18.846|~              |   2|   0
115|    105.07|[SHM2017] J211.35208+28.54578      |RR*|14 05 24.4831720073 +28 32 44.707520021|     ~|16.47 |16.17 |     ~|15.74 |~              |   5|   0
116|    105.64|Gaia DR2 1452629274619293312       |*  |14 05 24.6691610143 +28 32 29.860053062|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
117|    105.69|Cl* NGC 5466 FSBRGB 57             |RG*|14 05 27.45 +28 34 21.6                |     ~|16.971|16.202|     ~|15.261|~              |   1|   0
118|    105.84|Cl* NGC 5466 FSBRGB 66             |RG*|14 05 39.30 +28 33 52.3                |     ~|17.091|16.321|     ~|15.419|~              |   2|   0
119|    106.71|Cl* NGC 5466 FSBRGB 92             |RG*|14 05 26.78 +28 34 15.3                |     ~|17.541|16.848|     ~|15.952|~              |   1|   0
120|    106.74|Cl* NGC 5466 FSBHB 57              |HB*|14 05 26.18 +28 31 49.8                |     ~|16.888|16.371|     ~|15.673|~              |   2|   0
121|    108.25|Cl* NGC 5466 FSBHB 31              |HB*|14 05 37.15 +28 31 30.1                |     ~|16.719|16.637|     ~|16.535|~              |   1|   0
122|    109.66|Cl* NGC 5466 FSBHB V6              |RR*|14 05 37.3799855594 +28 31 30.574356973|     ~|16.852|16.516|     ~|     ~|~              |   5|   0
123|    109.80|2MASS J14052486+2832111            |*  |14 05 24.86520 +28 32 11.1696          |     ~|15.39 |14.13 |     ~|12.95 |~              |   2|   0
124|    111.46|Cl* NGC 5466 NH 75                 |BS*|14 05 24.47 +28 33 37.5                |     ~|20.151|19.911|     ~|19.574|~              |   1|   0
125|    111.76|Gaia DR2 1452635248923747840       |*  |14 05 26.7070124860 +28 34 21.300593825|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
126|    112.21|Cl* NGC 5466 FSBRGB 37             |RG*|14 05 25.55 +28 31 51.5                |     ~|16.648|15.831|     ~|14.871|~              |   1|   0
127|    113.70|Cl* NGC 5466 FSBHB 58              |HB*|14 05 28.66 +28 31 15.8                |     ~|16.652|16.418|     ~|16.168|~              |   1|   0
128|    114.04|Cl* NGC 5466 SAW V29               |EB*|14 05 29.00 +28 31 13.4                |     ~|19.278|19.218|     ~|18.935|~              |  21|   0
129|    114.41|[SHM2017] J211.35735+28.52907      |RR*|14 05 25.7533833145 +28 31 44.564943567|     ~|17.01 |16.60 |     ~|16.12 |~              |   5|   0
130|    115.31|Cl* NGC 5466 FSBRGB 28             |RG*|14 05 24.29 +28 32 14.7                |     ~|16.293|15.408|     ~|14.405|~              |   1|   0
131|    115.95|Cl* NGC 5466 FSBRGB 58             |RG*|14 05 25.31 +28 34 07.2                |     ~|17.012|16.264|     ~|15.327|~              |   1|   0
132|    117.43|Cl* NGC 5466 FSBHB 60              |HB*|14 05 23.71 +28 32 31.7                |     ~|16.698|16.564|     ~|16.423|~              |   1|   0
133|    117.84|Gaia DR2 1452631989039112576       |*  |14 05 40.4221507316 +28 32 06.514679582|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
134|    118.11|Cl* NGC 5466 SAW V28               |EB*|14 05 24.64 +28 31 59.0                |     ~|19.04 |18.635|     ~|18.419|~              |  21|   0
135|    118.82|Cl* NGC 5466 NH 10                 |BS*|14 05 23.95 +28 33 40.2                |     ~|19.414|19.219|     ~|18.908|~              |   2|   0
136|    119.47|Cl* NGC 5466 FSBRGB 96             |RG*|14 05 23.71 +28 33 32.9                |     ~|17.658|16.982|     ~|16.062|~              |   1|   0
137|    119.74|Cl* NGC 5466 FSBRGB 42             |RG*|14 05 24.22 +28 32 05.9                |     ~|16.706|15.859|     ~|14.920|~              |   1|   0
138|    119.76|Cl* NGC 5466 NH 56                 |BS*|14 05 23.35 +28 32 45.9                |     ~|19.559|19.289|     ~|18.922|~              |   1|   0
139|    119.84|Cl* NGC 5466 FSBHB 26              |HB*|14 05 29.07 +28 34 49.9                |     ~|16.704|16.667|     ~|16.552|~              |   1|   0
140|    119.94|Gaia DR2 1452629377698569856       |*  |14 05 23.8527422220 +28 33 39.958557441|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
141|    120.77|[SMW2010] 690                      |*  |14 05 39.51 +28 34 14.4                |     ~|17.92 |17.22 |     ~|16.42 |~              |   1|   0
142|    121.22|Cl* NGC 5466 FSBHB 72              |HB*|14 05 23.33 +28 32 37.3                |     ~|16.720|16.644|     ~|16.576|~              |   1|   0
143|    121.29|Cl* NGC 5466 FSBRGB 72             |RG*|14 05 23.51 +28 32 26.4                |     ~|17.201|16.403|     ~|15.517|~              |   1|   0
144|    121.67|Cl* NGC 5466 FSBHB 67              |HB*|14 05 23.89 +28 32 10.8                |     ~|16.708|16.555|     ~|16.356|~              |   1|   0
145|    123.50|Cl* NGC 5466 FSBHB 66              |HB*|14 05 26.76 +28 31 19.6                |     ~|16.683|16.612|     ~|16.529|~              |   1|   0
146|    123.70|Cl* NGC 5466 SAW V33               |SX*|14 05 28.10 +28 31 08.3                |     ~|19.007|18.871|     ~|18.570|~              |  14|   0
147|    123.73|Cl* NGC 5466 FSBRGB 45             |RG*|14 05 32.34 +28 30 54.6                |     ~|16.879|16.110|     ~|15.129|~              |   1|   0
148|    124.03|Cl* NGC 5466 FSBHB 59              |HB*|14 05 23.91 +28 32 04.5                |     ~|16.843|16.382|     ~|15.812|~              |   1|   0
149|    124.24|Cl* NGC 5466 SXP 3                 |SX*|14 05 28.12 +28 34 49.1                |     ~|19.46 |19.28 |     ~|     ~|~              |   3|   0
150|    124.30|Cl* NGC 5466 NH 44                 |BS*|14 05 23.07 +28 32 39.1                |     ~|19.50 |19.255|     ~|18.766|~              |   2|   0
151|    124.31|Cl* NGC 5466 NH 17                 |BS*|14 05 25.09 +28 31 39.6                |     ~|18.090|18.072|     ~|18.200|~              |   3|   0
152|    124.74|Cl* NGC 5466 FSBRGB 85             |RG*|14 05 31.13 +28 30 54.7                |     ~|17.511|16.814|     ~|15.907|~              |   2|   0
153|    124.98|Cl* NGC 5466 NH 70                 |BS*|14 05 29.67 +28 30 58.6                |     ~|19.891|19.654|     ~|18.976|~              |   1|   0
154|    125.09|Gaia DR2 1452631954679006976       |*  |14 05 38.0000102617 +28 31 17.422855971|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
155|    125.19|Cl* NGC 5466 NH 58                 |BS*|14 05 27.40 +28 31 11.8                |     ~|19.737|19.425|     ~|19.021|~              |   1|   0
156|    125.22|Gaia DR2 1452629274620747648       |*  |14 05 25.0108107094 +28 31 39.440249440|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
